"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","SST39SF010A-70-4C-WHE-ND","SST39SF010A-70-4C-WHE","IC FLASH 1MBIT PARALLEL 32TSOP","","1","0","1.38000","1.38"
"2","2","2019-RK73H2ATTD4702FCT-ND","RK73H2ATTD4702F","RES 47K OHM 1% 1/4W 0805","","2","0","0.10000","0.20"
"3","2","10129379-902001BLF-ND","10129379-902001BLF","CONN HEADER R/A 2POS 2.54MM","","2","0","0.10000","0.20"
"4","2","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","2","0","0.10000","0.20"
"5","50","A117856CT-ND","1544210-2","SIL CONTACT Y1 THROUGH HOLE","","50","0","0.03360","1.68"
"6","30","ED1081-ND","3121-2-00-15-00-00-08-0","CONN PC PIN CIRC 0.017DIA GOLD","","30","0","0.12520","3.76"
