"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","28","A128053CT-ND","1544242-1","SIL CONTACT Y1 THROUGH HOLE","","28","0","0.02960","0.83"
"2","2","A130144CT-ND","CRGCQ0805J47K","CRGCQ 0805 47K 5%","","2","0","0.10000","0.20"
"3","1","2057-PH1RB-02-UA-ND","PH1RB-02-UA","CONN HEADER R/A 2POS 2.54MM","","1","0","0.10000","0.10"
"4","1","AT28C256-15SU-ND","AT28C256-15SU","IC EEPROM 256K PARALLEL 28SOIC","","1","0","9.10000","9.10"
"5","1","2057-2PH1R-04-UA-ND","2PH1R-04-UA","CONN HEADER R/A 4POS 2MM","","1","0","0.22000","0.22"
"6","2","2057-MS2A-G-ND","MS2A-G","MINI SHUNT 2.0MM 2P GOLD","","2","0","0.13000","0.26"
