"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","28","A117856CT-ND","1544210-2","SIL CONTACT Y1 THROUGH HOLE","","28","0","0.03640","1.02"
"2","2","311-100KARCT-ND","RC0805JR-07100KL","RES 100K OHM 5% 1/8W 0805","","2","0","0.10000","0.20"
"3","1","AT28HC256F-90SU-TCT-ND","AT28HC256F-90SU-T","IC EEPROM 256KBIT PAR 28SOIC","","1","0","14.97000","14.97"
"4","2","10129379-902002BLF-ND","10129379-902002BLF","CONN HEADER R/A 2POS 2.54MM","","2","0","0.10000","0.20"
"5","2","609-6251-ND","861410021H110LF","HEADER BERGSTIK","","2","0","0.11000","0.22"
